english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
diet,饮食,小学,/ˈdaɪət/,Keep a good diet.,,保持良好饮食,Fruit is part of a healthy diet.,,水果是健康饮食的一部分
dig,挖,小学,/dɪɡ/,Dig a hole.,,挖一个洞,The dog digs in the garden.,digs,狗在花园里挖土
dinner,晚餐,小学,/ˈdɪnər/,We have dinner at 6.,,我们六点吃晚餐,What's for dinner?,,晚餐吃什么？
dog,狗,小学,/dɒɡ/,I have a dog.,,我有一只狗,The dog barks loudly.,,那只狗叫得很大声
door,门,小学,/dɔːr/,Open the door.,,打开门,Please close the door.,,请关上门
draw,画,小学,/drɔː/,I draw a picture.,,我画一幅画,She draws a flower.,draws,她画了一朵花
dress,连衣裙,小学,/dres/,She wears a red dress.,,她穿一条红裙子,I like your new dress.,,我喜欢你的新裙子
drink,喝,小学,/drɪŋk/,Drink some water.,,喝点水,He drinks milk every morning.,drinks,他每天早上喝牛奶
duck,鸭子,小学,/dʌk/,The duck can swim.,,鸭子会游泳,We feed the ducks in the pond.,ducks,我们在池塘里喂鸭子
ear,耳朵,小学,/ɪər/,I have two ears.,ears,我有两只耳朵,My ear hurts.,,我的耳朵疼
early,早的,小学,/ˈɜːrli/,I get up early.,,我起得早,The bus comes early.,,公交车来得很早
egg,鸡蛋,小学,/eɡ/,Eat an egg every day.,,每天吃一个鸡蛋,I like boiled eggs.,eggs,我喜欢吃煮鸡蛋
eight,八,小学,/eɪt/,I am eight years old.,,我八岁了,There are eight apples.,,有八个苹果
elephant,大象,小学,/ˈelɪfənt/,The elephant is big.,,大象很大,An elephant has a long trunk.,,大象有长长的鼻子
English,英语,小学,/ˈɪŋɡlɪʃ/,I learn English.,,我学英语,We speak English in class.,,我们在课堂上说英语
eye,眼睛,小学,/aɪ/,I have two eyes.,eyes,我有两只眼睛,She has blue eyes.,eyes,她有一双蓝眼睛
face,脸,小学,/feɪs/,Wash your face.,,洗脸,He has a happy face.,,他脸上洋溢着快乐
family,家庭,小学,/ˈfæməli/,I love my family.,,我爱我的家人,My family goes to the park.,,我们全家去公园
fan,风扇,小学,/fæn/,Turn on the fan.,,打开风扇,The fan makes the room cool.,,风扇让房间变凉快
farm,农场,小学,/fɑːrm/,We visit a farm.,,我们参观农场,My uncle works on a farm.,,我叔叔在农场工作
farmer,农民,小学,/ˈfɑːrmər/,My grandpa is a farmer.,,我爷爷是农民,The farmer grows corn.,,这位农民种玉米。
fast,快的,小学,/fæst/,He runs fast.,,他跑得很快,She is a fast learner.,,她学得很快。
fat,胖的,小学,/fæt/,The pig is fat.,,猪很胖,Eating too much can make you fat.,,吃太多会让你变胖。
father,爸爸,小学,/ˈfɑːðər/,This is my father.,,这是我的爸爸,My father drives a car.,,我爸爸开车。
fear,害怕,小学,/fɪr/,Don't fear.,,别害怕,She fears the dark.,fears,她害怕黑暗。
feed,喂,小学,/fiːd/,Feed the fish.,,喂鱼,He feeds the cat every day.,feeds,他每天喂猫。
feel,感觉,小学,/fiːl/,I feel happy.,,我感觉很开心,She feels tired after school.,feels,放学后她感觉很累。
fever,发烧,小学,/ˈfiːvər/,I have a fever.,,我发烧了,"If you have a fever, you should rest.",,如果你发烧了，应该休息。
few,很少,小学,/fjuː/,I have few friends.,,我几乎没有朋友,There are few apples left.,,没剩下几个苹果了。
field,田地,小学,/fiːld/,Work in the field.,,在田里干活,The children play in the field.,,孩子们在田地里玩耍。
fifteen,十五,小学,/ˌfɪfˈtiːn/,I am fifteen.,,我十五岁,There are fifteen books on the table.,,桌上有十五本书。
fifth,第五,小学,/fɪfθ/,This is the fifth floor.,,这是五楼,She is the fifth in line.,,她排在第五个。
fifty,五十,小学,/ˈfɪfti/,Fifty students.,,五十个学生,My grandma is fifty years old.,,我奶奶五十岁了。
fight,打架,小学,/faɪt/,Don't fight.,,别打架,The two boys fought over a toy.,fought,两个男孩为了一个玩具打架。
fill,装满,小学,/fɪl/,Fill the bottle.,,装满瓶子,She filled the glass with water.,filled,她把玻璃杯装满了水。
find,找到,小学,faɪnd,I find my pen.,,我找到我的钢笔,Can you find the book?,,你能找到那本书吗？
fine,好的,小学,faɪn,I'm fine.,,我很好,It's a fine day.,,天气很好。
finger,手指,小学,ˈfɪŋɡər,I have ten fingers.,fingers,我有十根手指,He hurt his finger.,,他弄伤了手指。
fire,火,小学,ˈfaɪər,Don't play with fire.,,别玩火,We make a fire to keep warm.,,我们生火取暖。
fish,鱼；鱼肉,小学,fɪʃ,Fish can swim.,,鱼会游泳,I like to eat fish.,,我喜欢吃鱼。
five,五,小学,faɪv,Five apples.,,五个苹果,I see five birds.,,我看见五只鸟。
flag,旗帜,小学,flæɡ,This is our flag.,,这是我们的旗帜,The flag is red and white.,,这面旗是红白相间的。
floor,地板；楼层,小学,flɔːr,The floor is clean.,,地板很干净,My room is on the second floor.,,我的房间在二楼。
flower,花,小学,ˈflaʊər,The flower is beautiful.,,花很漂亮,She picks a flower.,flowers,她摘了一朵花。
fly,飞；放（风筝）,小学,flaɪ,Fly a kite.,,放风筝,Birds can fly.,,鸟会飞。
food,食物,小学,fuːd,I like nice food.,,我喜欢美食,We need food and water.,,我们需要食物和水。
foot,脚,小学,fʊt,I have two feet.,feet,我有两只脚,My foot hurts.,,我的脚疼。
football,足球,小学,ˈfʊtbɔːl,I play football.,,我踢足球,We watch a football game.,,我们看足球比赛。
for,为了；给,小学,fɔːr,This gift is for you.,,这个礼物给你,We run for fun.,,我们跑步是为了好玩。
fork,叉子,小学,fɔːrk,Use a fork.,,用叉子,There are forks on the table.,forks,桌子上有几把叉子。
four,四,小学,/fɔːr/,Four books.,,四本书,I have four apples.,,我有四个苹果。
fourteen,十四,小学,/ˌfɔːrˈtiːn/,Fourteen pens.,,十四支钢笔,She is fourteen years old.,,她十四岁了。
fox,狐狸,小学,/fɑːks/,The fox is clever.,,狐狸很聪明,A fox ran across the road.,,一只狐狸跑过了马路。
free,空闲的,小学,/friː/,I'm free today.,,我今天有空,The coffee is free.,,咖啡是免费的。
fresh,新鲜的,小学,/freʃ/,Fresh fruit.,,新鲜水果,I need some fresh air.,,我需要一些新鲜空气。
fridge,冰箱,小学,/frɪdʒ/,Put milk in the fridge.,,把牛奶放进冰箱,The fridge is empty.,,冰箱是空的。
friend,朋友,小学,/frend/,You are my friend.,,你是我的朋友,We made friends at school.,friends,我们在学校成为了朋友。
friendly,友好的,小学,/ˈfrendli/,He is friendly.,,他很友好,She gave me a friendly smile.,,她给了我一个友好的微笑。
from,从,小学,/frʌm/,I come from China.,,我来自中国,This gift is from my mom.,,这份礼物是我妈妈送的。
front,前面,小学,/frʌnt/,In front of the door.,,在门前面,The teacher stands in front of the class.,,老师站在班级前面。
fruit,水果,小学,/fruːt/,I like fruit.,,我喜欢水果,We bought different fruits.,fruits,我们买了不同的水果。
full,满的,小学,/fʊl/,The cup is full.,,杯子满了,I am full after dinner.,,晚饭后我饱了。
fun,乐趣,小学,/fʌn/,We have fun.,,我们玩得开心,Swimming is fun.,,游泳很有趣。
funny,滑稽的,小学,/ˈfʌni/,The clown is funny.,,小丑很滑稽,He told a funny story.,,他讲了一个滑稽的故事。
game,游戏,小学,/ɡeɪm/,Play a game.,,玩游戏,We played games all afternoon.,games,我们玩了一下午的游戏。
garden,花园,小学,/ˈɡɑːrdn/,This is a garden.,,这是一个花园,We play in the garden.,,我们在花园里玩。
gate,大门,小学,/ɡeɪt/,The gate is open.,,大门开着,"Close the gate, please.",,请关上大门。
geography,地理,小学,/dʒiˈɑːɡrəfi/,I like geography.,,我喜欢地理,We study geography at school.,,我们在学校学习地理。
gift,礼物,小学,/ɡɪft/,This is a gift.,,这是一个礼物,I got a birthday gift.,,我收到了一份生日礼物。
girl,女孩,小学,/ɡɜːrl/,She is a girl.,,她是一个女孩,The girl is reading a book.,,那个女孩正在读书。
give,给,小学,/ɡɪv/,Give me a pen.,,给我一支钢笔,He gave me an apple.,gave,他给了我一个苹果。
glass,玻璃杯,小学,/ɡlæs/,A glass of water.,,一杯水,The glass is full.,,玻璃杯是满的。
go,去,小学,/ɡoʊ/,Let's go home.,,我们回家吧,She goes to school every day.,goes,她每天去上学。
goal,目标；进球,小学,/ɡoʊl/,Score a goal.,,进一个球,My goal is to learn English.,,我的目标是学习英语。
goat,山羊,小学,/ɡoʊt/,The goat is on the hill.,,山羊在山上,The goat eats grass.,,山羊吃草。
good,好的,小学,/ɡʊd/,Good morning.,,早上好,She is a good student.,,她是一个好学生。
goodbye,再见,小学,/ˌɡʊdˈbaɪ/,"Goodbye, Tom.",,再见，汤姆,We said goodbye to our friends.,,我们向朋友们说了再见。
goose,鹅,小学,/ɡuːs/,The goose swims.,,鹅在游泳,I saw two geese in the pond.,geese,我在池塘里看到两只鹅。
grade,年级,小学,/ɡreɪd/,I'm in Grade 3.,,我在三年级,She got a good grade in math.,,她的数学成绩很好。
grandma,奶奶；外婆,小学,/ˈɡrænmɑː/,I love my grandma.,,我爱我的奶奶,My grandma tells me stories.,,我的奶奶给我讲故事。
grandpa,爷爷；外公,小学,/ˈɡrænpɑː/,I love my grandpa.,,我爱我的爷爷,My grandpa tells me stories.,,我的爷爷给我讲故事。
grape,葡萄,小学,/ɡreɪp/,Grapes are purple.,Grapes,葡萄是紫色的,I like to eat grapes.,grapes,我喜欢吃葡萄。
grass,草,小学,/ɡræs/,Don't walk on grass.,,别踩草坪,The grass is green.,,草是绿色的。
green,绿色的,小学,/ɡriːn/,The tree is green.,,树是绿色的,She has a green dress.,,她有一条绿色的裙子。
ground,地面,小学,/ɡraʊnd/,The ball is on the ground.,,球在地上,The ground is wet.,,地面是湿的。
group,组,小学,/ɡruːp/,We are in a group.,,我们在一组,Our group won the game.,,我们组赢了比赛。
grow,生长,小学,/ɡroʊ/,Plants grow fast.,,植物长得快,I want to grow taller.,,我想长得更高。
hair,头发,小学,/her/,My hair is black.,,我的头发是黑色的,She brushes her hair.,,她梳她的头发。
half,一半,小学,/hæf/,Half an hour.,,半小时,I ate half of the apple.,,我吃了半个苹果。
hall,大厅,小学,/hɔːl/,This is the hall.,,这是大厅,We meet in the school hall.,,我们在学校大厅见面。
hand,手,小学,/hænd/,Wash your hands.,hands,洗手,Raise your hand.,,举起你的手。
happy,开心的,小学,/ˈhæpi/,I'm happy.,,我很开心,She has a happy face.,,她有一张开心的脸。
hard,努力地；硬的,小学,/hɑːrd/,Work hard.,,努力学习,This desk is hard.,,这张桌子很硬。
hat,帽子,小学,/hæt/,I wear a hat.,,我戴帽子,He took off his hat.,,他摘下了他的帽子。
hate,讨厌,小学,/heɪt/,I hate snakes.,,我讨厌蛇,They hate getting up early.,getting,他们讨厌早起。
have,有；吃,小学,hæv,I have a book.,,我有一本书,I have lunch at school.,,我在学校吃午饭
he,他,小学,hiː,He is a student.,,他是一名学生,He likes apples.,,他喜欢苹果
head,头,小学,hed,My head hurts.,,我头疼,He nodded his head.,,他点了点头
healthy,健康的,小学,ˈhelθi,Healthy food.,,健康的食物,She is very healthy.,,她很健康
hear,听见,小学,hɪr,I hear a bird.,,我听见鸟叫,I heard a noise.,heard,我听到了一个声音
heart,心,小学,hɑːrt,My heart is warm.,,我的心很温暖,He has a kind heart.,,他有一颗善良的心
heavy,重的,小学,ˈhevi,The bag is heavy.,,书包很重,The rain is heavy.,,雨下得很大
hello,你好,小学,həˈloʊ,"Hello, everyone.",,大家好,She said hello to me.,,她向我问好
help,帮助,小学,help,Let me help you.,,让我帮你,He helped his mother.,helped,他帮助了他的妈妈
hen,母鸡,小学,hen,The hen lays eggs.,,母鸡下蛋,The hen is in the yard.,,母鸡在院子里
her,她的；她,小学,hɜːr,This is her book.,,这是她的书,I gave it to her.,,我把它给了她
here,这里,小学,hɪr,Come here.,,过来,My book is here.,,我的书在这里
hi,嗨,小学,haɪ,"Hi, Lily.",,嗨，莉莉,"Hi, how are you?",,嗨，你好吗？
hide,藏,小学,haɪd,Hide and seek.,,捉迷藏,The cat hid under the bed.,hid,猫藏在床底下
high,高的,小学,haɪ,The tree is high.,,树很高,He jumped high.,,他跳得很高
hill,小山,小学,hɪl,Climb the hill.,,爬山,The house is on a hill.,,房子在小山上。
him,他,小学,hɪm,Give it to him.,,把它给他,I saw him yesterday.,,我昨天看见他了。
his,他的,小学,hɪz,This is his pen.,,这是他的钢笔,His bike is new.,,他的自行车是新的。
history,历史,小学,ˈhɪstri,I like history.,,我喜欢历史,We learn history at school.,,我们在学校学习历史。
hobby,爱好,小学,ˈhɒbi,My hobby is reading.,,我的爱好是阅读,What is your hobby?,,你的爱好是什么？
hold,拿；握住,小学,həʊld,Hold my hand.,,握住我的手,She is holding a book.,holding,她正拿着一本书。
home,家,小学,həʊm,I go home.,,我回家,Welcome to my home.,,欢迎来我家。
homework,作业,小学,ˈhəʊmwɜːk,I do my homework.,,我做作业,She finished her homework.,finished,她完成了她的作业。
hope,希望,小学,həʊp,I hope you are happy.,,我希望你开心,We hope for good weather.,,我们希望有好天气。
horse,马,小学,hɔːs,The horse runs fast.,,马跑得很快,He rides a horse.,rides,他骑马。
hospital,医院,小学,ˈhɒspɪtl,Go to the hospital.,,去医院,My mother works in a hospital.,works,我妈妈在医院工作。
hot,热的,小学,hɒt,It's hot today.,,今天很热,The soup is too hot.,,汤太烫了。
hotel,旅馆,小学,həʊˈtel,Stay in a hotel.,,住在旅馆里,We booked a hotel room.,booked,我们预订了一个旅馆房间。
hour,小时,小学,ˈaʊə(r),An hour has 60 minutes.,,一小时有60分钟,I waited for an hour.,waited,我等了一个小时。
house,房子,小学,haʊs,This is my house.,,这是我的房子,They live in a big house.,live,他们住在一所大房子里。
how,怎样,小学,haʊ,How are you?,,你好吗,How old are you?,,你多大了？
hundred,百,小学,ˈhʌndrəd,One hundred books.,,一百本书,There are hundreds of people.,hundreds,有数百人。
hungry,饿的,小学,ˈhʌŋɡri,I'm hungry.,,我饿了,The hungry boy ate an apple.,,那个饥饿的男孩吃了一个苹果。
hurry,匆忙,小学,ˈhɜːri,Hurry up.,,快点,She hurried to school.,hurried,她匆忙赶去学校。
ice,冰,小学,aɪs,Ice is cold.,,冰很冷,The lake is covered with ice.,,湖面覆盖着冰。
ice-cream,冰淇淋,小学,ˈaɪs kriːm,I like ice-cream.,,我喜欢冰淇淋,Would you like an ice-cream?,,你想要一个冰淇淋吗？
idea,主意,小学,aɪˈdɪə,Good idea.,,好主意,I have an idea.,,我有个主意。
if,如果,小学,ɪf,If you are happy.,,如果你开心,"If it rains, we will stay home.",,如果下雨，我们就待在家里。
ill,生病的,小学,ɪl,I'm ill.,,我生病了,She feels ill today.,,她今天感觉不舒服。
in,在……里面,小学,ɪn,In the box.,,在盒子里,The cat is in the house.,,猫在房子里。
island,岛屿,小学,ˈaɪlənd,This is an island.,,这是一个岛屿,They live on a small island.,,他们住在一个小岛上。
it,它,小学,ɪt,It is a dog.,,它是一只狗,It is raining.,,正在下雨。
its,它的,小学,ɪts,The dog wags its tail.,,狗摇尾巴,The cat licked its paw.,,猫舔了舔它的爪子。
jacket,夹克衫,小学,ˈdʒækɪt,This is a jacket.,,这是一件夹克,He put on his jacket.,,他穿上了他的夹克。
job,工作,小学,dʒɒb,I have a job.,,我有一份工作,She is looking for a job.,,她正在找工作。
join,加入,小学,/dʒɔɪn/,Join us.,,加入我们,He joins the team.,joins,他加入了队伍
juice,果汁,小学,/dʒuːs/,I drink juice.,,我喝果汁,She likes apple juice.,,她喜欢苹果汁
jump,跳,小学,/dʒʌmp/,Jump high.,,跳得高,The cat jumps over the wall.,jumps,猫跳过了墙
kangaroo,袋鼠,小学,/ˌkæŋɡəˈruː/,The kangaroo jumps.,,袋鼠跳,I saw a kangaroo in the zoo.,,我在动物园看到一只袋鼠
key,钥匙,小学,/kiː/,This is my key.,,这是我的钥匙,She lost her keys.,keys,她丢了钥匙
kid,小孩,小学,/kɪd/,The kid is cute.,,小孩很可爱,The kids are playing.,kids,孩子们在玩耍
kill,杀死,小学,/kɪl/,Don't kill animals.,,别杀害动物,He killed the spider.,killed,他杀死了蜘蛛
king,国王,小学,/kɪŋ/,He is a king.,,他是国王,The king rules the country.,,国王统治国家
kitchen,厨房,小学,/ˈkɪtʃɪn/,My mother is in the kitchen.,,我妈妈在厨房,We cook in the kitchen.,,我们在厨房做饭
kite,风筝,小学,/kaɪt/,Fly a kite.,,放风筝,He is flying a kite.,flying,他正在放风筝
knife,刀,小学,/naɪf/,Use a knife.,,用刀,She cut the bread with a knife.,,她用刀切面包
know,知道,小学,/nəʊ/,I know you.,,我认识你,He knows the answer.,knows,他知道答案
lake,湖,小学,/leɪk/,This is a lake.,,这是一个湖,We swam in the lake.,,我们在湖里游泳
lamp,灯,小学,/læmp/,Turn on the lamp.,,开灯,The lamp is bright.,,灯很亮
land,陆地,小学,/lænd/,We live on land.,,我们生活在陆地上,The plane landed safely.,landed,飞机安全着陆了
large,大的,小学,lɑːrdʒ,A large room.,,一个大房间,We need a large box.,,我们需要一个大盒子。
last,最后的,小学,læst,The last one.,,最后一个,He was the last to arrive.,,他是最后一个到的。
late,晚的,小学,leɪt,Don't be late.,,别迟到,She came home late.,,她很晚才回家。
laugh,笑,小学,læf,Don't laugh.,,别笑,They laughed at the joke.,laughed,他们被笑话逗笑了。
law,法律,小学,lɔː,Obey the law.,,遵守法律,The law protects people.,,法律保护人民。
lay,放；下蛋,小学,leɪ,Lay the book down.,,把书放下,The hen lays an egg.,lays,母鸡下了一个蛋。
lazy,懒惰的,小学,ˈleɪzi,Don't be lazy.,,别懒惰,The lazy cat sleeps all day.,,那只懒惰的猫整天睡觉。
leaf,叶子,小学,liːf,The leaf is green.,,叶子是绿色的,Leaves fall in autumn.,Leaves,秋天树叶会落下。
learn,学习,小学,lɜːrn,I learn English.,,我学英语,She learned to swim.,learned,她学会了游泳。
lemon,柠檬,小学,ˈlemən,Lemon is sour.,,柠檬是酸的,I like lemon juice.,,我喜欢柠檬汁。
lesson,课,小学,ˈlesn,I have a lesson.,,我有一节课,The lesson was interesting.,,这堂课很有趣。
let,让,小学,let,Let's go.,,我们走吧,She let me borrow her book.,let,她让我借她的书。
library,图书馆,小学,ˈlaɪbreri,I read in the library.,,我在图书馆看书,The library is quiet.,,图书馆很安静。
lie,躺；说谎,小学,laɪ,Lie on the bed.,,躺在床上,He lied about his age.,lied,他谎报了年龄。
life,生活；生命,小学,laɪf,Life is good.,,生活很美好,Many lives were saved.,lives,许多生命得救了。
light,灯；轻的,小学,/laɪt/,Turn on the light.,,开灯,The box is light.,,这个盒子很轻。
like,喜欢；像,小学,/laɪk/,I like apples.,,我喜欢苹果,She looks like her mother.,,她看起来像她妈妈。
lion,狮子,小学,/ˈlaɪən/,The lion is strong.,,狮子很强壮,We saw a lion at the zoo.,,我们在动物园看到一头狮子。
lip,嘴唇,小学,/lɪp/,My lips are red.,lips,我的嘴唇是红色的,He bit his lip.,,他咬住了嘴唇。
list,清单,小学,/lɪst/,A shopping list.,,购物清单,Please list your name.,,请列出你的名字。
listen,听,小学,/ˈlɪs(ə)n/,Listen to me.,,听我说,She is listening to music.,listening,她正在听音乐。
little,小的,小学,/ˈlɪt(ə)l/,A little dog.,,一只小狗,There is little water left.,,只剩下一点水了。
live,居住,小学,/lɪv/,I live in China.,,我住在中国,They live happily.,,他们生活得很幸福。
long,长的,小学,/lɒŋ/,The ruler is long.,,尺子很长,How long is the river?,,这条河有多长？
look,看,小学,/lʊk/,Look at me.,,看着我,He looked out of the window.,looked,他向窗外看去。
lose,丢失,小学,/luːz/,I lose my pen.,,我丢了钢笔,He lost his keys yesterday.,lost,他昨天丢了钥匙。
lot,许多,小学,/lɒt/,A lot of books.,,许多书,Thanks a lot!,,非常感谢！
love,爱,小学,/lʌv/,I love you.,,我爱你,She loves reading.,loves,她热爱阅读。
low,低的,小学,/ləʊ/,The sun is low.,,太阳很低,Speak in a low voice.,,低声说话。
luck,运气,小学,/lʌk/,Good luck.,,好运,Wish you good luck!,,祝你好运！
lunch,午餐,小学,lʌntʃ,I have lunch at 12.,,我十二点吃午餐,We eat lunch together.,,我们一起吃午餐。
machine,机器,小学,məˈʃiːn,This is a machine.,,这是一台机器,The machine is working.,,机器正在工作。
mad,生气的,小学,mæd,He is mad.,,他生气了,Don't make me mad.,,别惹我生气。
magazine,杂志,小学,ˌmæɡəˈziːn,Read a magazine.,,看杂志,I bought a new magazine.,,我买了一本新杂志。
magic,魔法,小学,ˈmædʒɪk,Magic trick.,,魔术,The magic show is fun.,,魔术表演很有趣。
mail,邮件,小学,meɪl,Send a mail.,,发邮件,I got your mail.,,我收到你的邮件了。
main,主要的,小学,meɪn,The main road.,,主路,This is the main idea.,,这是主要观点。
make,制作,小学,meɪk,Make a cake.,,做蛋糕,She makes a card.,makes,她做了一张卡片。
man,男人,小学,mæn,He is a man.,,他是一个男人,Two men are talking.,men,两个男人在说话。
many,许多,小学,ˈmeni,Many books.,,许多书,There are many apples.,,有许多苹果。
map,地图,小学,mæp,This is a map.,,这是一张地图,Look at the map.,,看这张地图。
math,数学,小学,mæθ,I like math.,,我喜欢数学,We have math class.,,我们有数学课。
matter,事情,小学,ˈmætər,What's the matter?,,怎么了,It doesn't matter.,,没关系。
may,可以,小学,meɪ,May I come in?,,我可以进来吗,You may go now.,,你现在可以走了。
me,我,小学,miː,Give it to me.,,把它给我,He saw me yesterday.,,他昨天看见我了。
meat,肉,小学,/miːt/,I eat meat.,,我吃肉,We cook meat for dinner.,,我们做肉当晚餐。
medicine,药,小学,/ˈmedɪsn/,Take some medicine.,,吃点药,The doctor gave me medicine.,,医生给了我药。
meet,遇见,小学,/miːt/,Nice to meet you.,,很高兴遇见你,I met my friend yesterday.,met,我昨天遇见了我的朋友。
mend,修理,小学,/mend/,Mend the bike.,,修自行车,He mended the broken toy.,mended,他修理了坏掉的玩具。
menu,菜单,小学,/ˈmenjuː/,Look at the menu.,,看菜单,The waiter brought the menu.,,服务员拿来了菜单。
mess,混乱,小学,/mes/,Don't make a mess.,,别弄乱,The room is in a mess.,,房间一团糟。
message,消息,小学,/ˈmesɪdʒ/,Send a message.,,发消息,I got your message.,,我收到你的消息了。
middle,中间,小学,/ˈmɪdl/,In the middle.,,在中间,She sits in the middle of the class.,,她坐在教室中间。
milk,牛奶,小学,/mɪlk/,Drink milk.,,喝牛奶,I like milk with cereal.,,我喜欢牛奶配麦片。
mind,介意,小学,/maɪnd/,Never mind.,,没关系,Do you mind if I sit here?,,你介意我坐这儿吗？
mine,我的,小学,/maɪn/,This book is mine.,,这本书是我的,That blue bag is mine.,,那个蓝色的包是我的。
minute,分钟,小学,/ˈmɪnɪt/,Wait a minute.,,等一下,The bus comes in five minutes.,,公交车五分钟后到。
miss,想念；错过,小学,/mɪs/,I miss you.,,我想念你,Don't miss the school bus.,,别错过校车。
mistake,错误,小学,/mɪˈsteɪk/,I make a mistake.,,我犯了一个错误,She corrected the mistake.,,她改正了错误。
model,模型,小学,/ˈmɒdl/,A model plane.,,飞机模型,He built a model car.,,他造了一辆汽车模型。
